Municipality,Beach,Beach Type,Posting Reason
Agawam,Robinson Pond Beach (DCR),Freshwater,Bacterial Exceedance
Ashby,Damon Pond Beach (DCR),Freshwater,Bacterial Exceedance
Ashland,Ashland Reservoir - Main Beach (DCR),Freshwater,Bacterial Exceedance
Ashland,Hopkinton Reservoir - Main Beach (DCR),Freshwater,Bacterial Exceedance
Ashland,Hopkinton Reservoir-Upper Beach (DCR),Freshwater,Bacterial Exceedance
Beverly,Brackenbury,Marine,Bacterial Exceedance
Billerica,Nutting Lake - Micozzi Beach,Freshwater,Precautionary - CSO/SSO Event
Boston,Malibu (DCR),Marine,Bacterial Exceedance
Boston,Savin Hill (DCR),Marine,Bacterial Exceedance
Boston,Tenean (DCR),Marine,Bacterial Exceedance
Charlemont,Cold River Pool (DCR),Freshwater,Bacterial Exceedance
Clarksburg,Mauserts Pond (DCR),Freshwater,Bacterial Exceedance
Cohasset,Black Rock,Marine,Bacterial Exceedance
Conway,Conway Swimming Pool,Freshwater,Other
Danvers,Sandy Beach - West,Marine,Bacterial Exceedance
Dartmouth,Anthony Beach,Marine,Precautionary - CSO/SSO Event
Dartmouth,Hidden Bay,Marine,Precautionary - CSO/SSO Event
Dartmouth,Jones Town Beach North,Marine,Precautionary - CSO/SSO Event
Dartmouth,Jones Town Beach South,Marine,Precautionary - CSO/SSO Event
Dartmouth,Oak Hill Shores,Marine,Precautionary - CSO/SSO Event
Douglas,Wallum Lake (DCR),Freshwater,Bacterial Exceedance
Framingham,Learned Pond Beach,Freshwater,Bacterial Exceedance
Framingham,Saxonville Beach,Freshwater,Algae/Cyanobacteria Advisory
Framingham,Waushakum Beach,Freshwater,Algae/Cyanobacteria Advisory
Georgetown,American Legion Park,Freshwater,Other
Hingham,Hingham Town Beach,Marine,Bacterial Exceedance
Lynn,Lynn Beach (DCR),Marine,Bacterial Exceedance
Milton,Houghton's Pond @ Bathhouse (DCR),Freshwater,Bacterial Exceedance
Nahant,Nahant Beach (DCR),Marine,Bacterial Exceedance
Nantucket,Dionis,Marine,Bacterial Exceedance
Nantucket,Miacomet Pond,Freshwater,Algae/Cyanobacteria Advisory
Natick,Cochituate State Park Beach (DCR),Freshwater,Algae/Cyanobacteria Advisory
New Marlborough,York Lake Beach (DCR),Freshwater,Bacterial Exceedance
North Andover,Berry Pond Beach (DCR),Freshwater,Bacterial Exceedance
North Andover,Frye Pond Beach (DCR),Freshwater,Bacterial Exceedance
Orleans,Pilgrim Lake,Freshwater,Algae/Cyanobacteria Advisory
Oxford,Carbuncle Pond Beach,Freshwater,Algae/Cyanobacteria Advisory
Pittsfield,Lulu Pond Beach (DCR),Freshwater,Bacterial Exceedance
Quincy,Wollaston @ Channing Street (DCR),Marine,Bacterial Exceedance
Quincy,Wollaston @ Sachem Street (DCR),Marine,Bacterial Exceedance
Salem,Camp Naumkeag,Marine,Bacterial Exceedance
Salem,Children's Island - Back,Marine,Bacterial Exceedance
Salem,Children's Island - Dock,Marine,Bacterial Exceedance
Salem,Children's Island - Wally,Marine,Bacterial Exceedance
Salem,Collins Cove,Marine,Bacterial Exceedance
Salem,Juniper Point,Marine,Bacterial Exceedance
Salem,Ocean Avenue,Marine,Bacterial Exceedance
Salem,Osgood,Marine,Bacterial Exceedance
Salem,Steps,Marine,Bacterial Exceedance
Salem,Willow Avenue,Freshwater,Bacterial Exceedance
Saugus,Pearce Lake @ Breakheart Reservation (DCR),Freshwater,Bacterial Exceedance
Scituate,Bassings Beach,Marine,Bacterial Exceedance
Somerset,Pierce Beach,Marine,Bacterial Exceedance
Sturbridge,Wells State Park - Walker Pond Beach (DCR),Freshwater,Bacterial Exceedance
Templeton,Beaman's Pond - Campground (DCR),Freshwater,Bacterial Exceedance
Templeton,Beaman's Pond - Day Use Beach (DCR),Freshwater,Bacterial Exceedance
Townsend,Pearl Hill Pond Beach (DCR),Freshwater,Bacterial Exceedance
Wayland,Wayland Town Beach,Freshwater,Algae/Cyanobacteria Advisory
Wellesley,Morses Pond,Freshwater,Bacterial Exceedance
Winthrop,Donovans,Marine,Bacterial Exceedance
Worcester,Lake Quinsigamond-Lake Park Beach (DCR),Freshwater,Bacterial Exceedance
Worcester,Lake Quinsigamond-Regatta Point Beach (DCR),Freshwater,Bacterial Exceedance
